"","MSE","RMSE","CCSED","R2_OOS"
"ARMAX",3.93188442541131,1.98289798663756,103.276902055246,0.192922212218028
"ARX",3.91982673684121,1.97985523128364,105.450402526093,0.195397232224726
"LM",4.14827565833279,2.03673161175762,57.1020009902615,0.14850469159281
"NAIVE",5.06687489436701,2.25097198880106,163.889599883836,-0.0400514710668178
"ARX_GET",2.94317030083498,1.71556704935569,38.0403221644772,0.395870499114426
"AR1",4.87175398076187,2.20720501557102,96.8270034164372,0
"GAM",5.97351404975291,2.44407734119706,121.03670806271,-0.226152649198171
"LM.1",4.14827565833279,2.03673161175762,57.1020009902615,0.14850469159281
"MLP",3.62636679785531,1.90430218133975,40.8972603232958,0.255634251611326
"MARS",4.00004284565541,2.00001071138517,42.6217720493733,0.178931682213177
"SVM",3.874352497479,1.96833749582712,65.8188037380595,0.2047314965455
"RF",3.59153834153417,1.89513544147488,58.4455412434041,0.262783310545475
"XGB",3.57563266707684,1.89093433706114,62.2760972678578,0.266048186916519
"kNN",4.28768901089996,2.07067356454366,72.0549453229529,0.119888026400417
"LSTM",3.51111088800939,1.873795850142,61.4770685822532,0.279292242203843
"LSTM_CNN",3.86203871785955,1.96520704198299,35.3107056040284,0.207259083050909
"TDNN",4.28796775455916,2.07074087093464,43.6934660859244,0.119830810116445
